state,district,crop,season,crop_year,area_hectare,production_tonne,yield_kg_per_hectare
All India,,Rice,Kharif,2021,410.38,1110.01,2705.00
All India,,Rice,Kharif,2022,404.03,1105.12,2735.00
All India,,Rice,Kharif,2023,407.34,1132.59,2780.00
All India,,Rice,Kharif,2024,434.66,1227.72,2825.00
All India,,Rice,Kharif,2025,446.70,1247.58,2793.00
All India,,Rice,Rabi,2021,52.40,184.71,3525.00
All India,,Rice,Rabi,2022,43.28,150.04,3467.00
All India,,Rice,Rabi,2023,40.76,146.01,3582.00
All India,,Rice,Rabi,2024,44.73,161.29,3606.00
All India,,Rice,Rabi,2025,48.99,181.07,3696.00
All India,,Rice,Summer,2022,31.01,102.40,3302.00
All India,,Rice,Summer,2023,30.18,99.65,3302.00
All India,,Rice,Summer,2024,33.28,112.84,3391.00
All India,,Rice,Summer,2025,32.63,111.59,3419.00
All India,,Rice,Total,2021,462.79,1294.71,2798.00
All India,,Rice,Total,2022,478.32,1357.55,2838.00
All India,,Rice,Total,2023,478.28,1378.25,2882.00
All India,,Rice,Total,2024,512.67,1501.84,2929.00
All India,,Rice,Total,2025,528.32,1540.24,2915.00
All India,,Wheat,Rabi,2021,304.59,1077.42,3537.00
All India,,Wheat,Rabi,2022,314.01,1105.54,3521.00
All India,,Wheat,Rabi,2023,318.33,1132.92,3559.00
All India,,Wheat,Rabi,2024,328.04,1179.45,3595.00
All India,,Wheat,Rabi,2025,336.00,1206.57,3591.00
All India,,Wheat,Total,2021,304.59,1077.42,3537.00
All India,,Wheat,Total,2022,314.01,1105.54,3521.00
All India,,Wheat,Total,2023,318.33,1132.92,3559.00
All India,,Wheat,Total,2024,328.04,1179.45,3595.00
All India,,Wheat,Total,2025,336.00,1206.57,3591.00
All India,,Maize,Kharif,2021,77.85,226.81,2914.00
All India,,Maize,Kharif,2022,80.53,236.74,2940.00
All India,,Maize,Kharif,2023,83.29,222.45,2671.00
All India,,Maize,Kharif,2024,84.61,248.08,2932.00
All India,,Maize,Kharif,2025,98.61,305.09,3094.00
All India,,Maize,Rabi,2021,21.73,110.49,5084.00
All India,,Maize,Rabi,2022,21.83,116.90,5355.00
All India,,Maize,Rabi,2023,21.75,120.28,5529.00
All India,,Maize,Rabi,2024,27.80,147.53,5306.00
All India,,Maize,Rabi,2025,34.88,200.25,5740.00
All India,,Maize,Summer,2022,5.08,27.21,5361.00
All India,,Maize,Summer,2023,7.37,33.92,4603.00
All India,,Maize,Summer,2024,8.50,38.47,4528.00
All India,,Maize,Summer,2025,10.58,45.59,4308.00
All India,,Maize,Total,2021,99.58,337.30,3387.00
All India,,Maize,Total,2022,107.44,380.85,3545.00
All India,,Maize,Total,2023,112.41,376.65,3351.00
All India,,Maize,Total,2024,120.91,434.09,3590.00
All India,,Maize,Total,2025,144.08,550.93,3824.00
All India,,Barley,Rabi,2021,4.53,13.71,3025.00
All India,,Barley,Rabi,2022,6.28,19.13,3044.00
All India,,Barley,Rabi,2023,5.51,16.99,3082.00
All India,,Barley,Rabi,2024,6.08,19.19,3159.00
All India,,Barley,Rabi,2025,5.66,17.96,3171.00
All India,,Barley,Total,2021,4.53,13.71,3025.00
All India,,Barley,Total,2022,6.28,19.13,3044.00
All India,,Barley,Total,2023,5.51,16.99,3082.00
All India,,Barley,Total,2024,6.08,19.19,3159.00
All India,,Barley,Total,2025,5.66,17.96,3171.00
All India,,Jowar,Kharif,2021,14.66,15.98,1090.00
All India,,Jowar,Kharif,2022,13.82,14.80,1071.00
All India,,Jowar,Kharif,2023,12.89,15.09,1170.00
All India,,Jowar,Kharif,2024,14.42,17.37,1204.00
All India,,Jowar,Kharif,2025,12.10,13.13,1085.00
All India,,Jowar,Rabi,2021,23.34,25.52,1093.00
All India,,Jowar,Rabi,2022,21.37,23.22,1086.00
All India,,Jowar,Rabi,2023,27.36,31.89,1165.00
All India,,Jowar,Rabi,2024,25.17,31.87,1266.00
All India,,Jowar,Rabi,2025,22.96,30.09,1311.00
