state,district,crop,season,crop_year,area_hectare,production_tonne,yield_kg_per_hectare
Andaman And Nicobar Islands,,Rice,Kharif,2021,0.06,0.13,2133.00
Andaman And Nicobar Islands,,Rice,Kharif,2022,0.05,0.11,2107.00
Andaman And Nicobar Islands,,Rice,Kharif,2023,0.05,0.10,2100.00
Andaman And Nicobar Islands,,Rice,Kharif,2024,0.04,0.09,2060.00
Andaman And Nicobar Islands,,Rice,Rabi,2021,,0.00,
Andaman And Nicobar Islands,,Rice,Total,2021,0.06,0.13,2133.00
Andaman And Nicobar Islands,,Rice,Total,2022,0.05,0.11,2107.00
Andaman And Nicobar Islands,,Rice,Total,2023,0.05,0.10,2100.00
Andaman And Nicobar Islands,,Rice,Total,2024,0.04,0.09,2060.00
Andhra Pradesh,,Rice,Kharif,2021,15.08,43.26,2869.00
Andhra Pradesh,,Rice,Kharif,2022,14.52,49.86,3434.00
Andhra Pradesh,,Rice,Kharif,2023,13.47,46.95,3485.00
Andhra Pradesh,,Rice,Kharif,2024,14.04,50.31,3583.00
Andhra Pradesh,,Rice,Kharif,2025,17.35,63.27,3647.00
Andhra Pradesh,,Rice,Rabi,2021,7.81,34.37,4401.00
Andhra Pradesh,,Rice,Rabi,2022,6.77,29.56,4366.00
Andhra Pradesh,,Rice,Rabi,2023,5.73,26.46,4616.00
Andhra Pradesh,,Rice,Rabi,2024,6.73,31.29,4649.00
Andhra Pradesh,,Rice,Rabi,2025,9.16,42.58,4649.00
Andhra Pradesh,,Rice,Total,2021,22.89,77.64,3392.00
Andhra Pradesh,,Rice,Total,2022,21.29,79.42,3730.00
Andhra Pradesh,,Rice,Total,2023,19.21,73.42,3822.00
Andhra Pradesh,,Rice,Total,2024,20.77,81.59,3928.00
Andhra Pradesh,,Rice,Total,2025,26.51,105.85,3993.00
Arunachal Pradesh,,Rice,Kharif,2021,1.36,2.51,1852.00
Arunachal Pradesh,,Rice,Kharif,2022,1.36,2.53,1857.00
Arunachal Pradesh,,Rice,Kharif,2023,1.37,2.54,1858.00
Arunachal Pradesh,,Rice,Kharif,2024,1.37,2.55,1859.00
Arunachal Pradesh,,Rice,Rabi,2021,0.01,0.01,1343.00
Arunachal Pradesh,,Rice,Rabi,2022,0.01,0.01,1345.00
Arunachal Pradesh,,Rice,Rabi,2023,0.01,0.01,1347.00
Arunachal Pradesh,,Rice,Rabi,2024,0.00,0.00,449.00
Arunachal Pradesh,,Rice,Total,2021,1.36,2.52,1849.00
Arunachal Pradesh,,Rice,Total,2022,1.37,2.54,1854.00
Arunachal Pradesh,,Rice,Total,2023,1.37,2.55,1856.00
