state,district,taluka,season_year,event_date,rainfall_mm
Maharashtra,Thane,Thane,2021,2021-05-18,128.4
Maharashtra,Thane,Thane,2021,2021-06-09,75.6
Maharashtra,Thane,Thane,2021,2021-06-10,183.4
Maharashtra,Thane,Thane,2021,2021-06-12,122.2
Maharashtra,Thane,Thane,2021,2021-06-18,188.4
Maharashtra,Thane,Thane,2021,2021-07-18,136.9
Maharashtra,Thane,Thane,2021,2021-07-19,174.9
Maharashtra,Thane,Thane,2021,2021-07-20,165
Maharashtra,Thane,Thane,2021,2021-07-22,82.1
Maharashtra,Thane,Thane,2021,2021-09-01,140
Maharashtra,Thane,Thane,2021,2021-09-29,76.2
Maharashtra,Thane,Thane,2021,2021-12-02,84.1
Maharashtra,Thane,Kalyan,2021,2021-06-09,83.5
Maharashtra,Thane,Kalyan,2021,2021-06-10,95.9
Maharashtra,Thane,Kalyan,2021,2021-06-12,68.6
Maharashtra,Thane,Kalyan,2021,2021-06-18,97.3
Maharashtra,Thane,Kalyan,2021,2021-07-18,72.3
Maharashtra,Thane,Kalyan,2021,2021-07-19,180.1
Maharashtra,Thane,Kalyan,2021,2021-07-20,230.3
Maharashtra,Thane,Kalyan,2021,2021-07-22,142.5
Maharashtra,Thane,Kalyan,2021,2021-09-01,126.1
Maharashtra,Thane,Kalyan,2021,2021-09-29,121.3
Maharashtra,Thane,Kalyan,2021,2021-12-02,78.1
Maharashtra,Thane,Murbad,2021,2021-07-19,97.7
Maharashtra,Thane,Murbad,2021,2021-07-20,90.4
Maharashtra,Thane,Murbad,2021,2021-07-22,193.9
Maharashtra,Thane,Murbad,2021,2021-09-01,66.2
Maharashtra,Thane,Murbad,2021,2021-09-12,82.8
Maharashtra,Thane,Murbad,2021,2021-09-14,76.3
Maharashtra,Thane,Murbad,2021,2021-09-29,82.3
Maharashtra,Thane,Bhivandi,2021,2021-06-09,85.4
Maharashtra,Thane,Bhivandi,2021,2021-06-10,86.6
Maharashtra,Thane,Bhivandi,2021,2021-06-12,105.5
Maharashtra,Thane,Bhivandi,2021,2021-06-18,157.6
Maharashtra,Thane,Bhivandi,2021,2021-07-19,180.3
Maharashtra,Thane,Bhivandi,2021,2021-07-20,181.8
Maharashtra,Thane,Bhivandi,2021,2021-07-21,72.8
Maharashtra,Thane,Bhivandi,2021,2021-07-22,140.7
Maharashtra,Thane,Bhivandi,2021,2021-09-01,107.4
Maharashtra,Thane,Bhivandi,2021,2021-09-29,119.8
Maharashtra,Thane,Bhivandi,2021,2021-12-02,70.5
Maharashtra,Thane,Shahapur,2021,2021-06-26,66.6
Maharashtra,Thane,Shahapur,2021,2021-07-18,84.5
Maharashtra,Thane,Shahapur,2021,2021-07-19,159.8
Maharashtra,Thane,Shahapur,2021,2021-07-20,81.1
Maharashtra,Thane,Shahapur,2021,2021-07-21,84.8
Maharashtra,Thane,Shahapur,2021,2021-07-22,183.7
Maharashtra,Thane,Shahapur,2021,2021-09-13,65.7
Maharashtra,Thane,Shahapur,2021,2021-09-14,95.7
Maharashtra,Thane,Shahapur,2021,2021-09-29,101.9
Maharashtra,Thane,Ulhasnagar,2021,2021-06-09,71.8
Maharashtra,Thane,Ulhasnagar,2021,2021-06-10,118
Maharashtra,Thane,Ulhasnagar,2021,2021-06-12,68.8
Maharashtra,Thane,Ulhasnagar,2021,2021-06-18,103.8
