subdivision,year,month,rainfall_mm
Andaman & Nicobar Islands,1901,1,49.2
Andaman & Nicobar Islands,1901,2,87.1
Andaman & Nicobar Islands,1901,3,29.2
Andaman & Nicobar Islands,1901,4,2.3
Andaman & Nicobar Islands,1901,5,528.8
Andaman & Nicobar Islands,1901,6,517.5
Andaman & Nicobar Islands,1901,7,365.1
Andaman & Nicobar Islands,1901,8,481.1
Andaman & Nicobar Islands,1901,9,332.6
Andaman & Nicobar Islands,1901,10,388.5
Andaman & Nicobar Islands,1901,11,558.2
Andaman & Nicobar Islands,1901,12,33.6
Andaman & Nicobar Islands,1902,1,0
Andaman & Nicobar Islands,1902,2,159.8
Andaman & Nicobar Islands,1902,3,12.2
Andaman & Nicobar Islands,1902,4,0
Andaman & Nicobar Islands,1902,5,446.1
Andaman & Nicobar Islands,1902,6,537.1
Andaman & Nicobar Islands,1902,7,228.9
Andaman & Nicobar Islands,1902,8,753.7
Andaman & Nicobar Islands,1902,9,666.2
Andaman & Nicobar Islands,1902,10,197.2
Andaman & Nicobar Islands,1902,11,359
Andaman & Nicobar Islands,1902,12,160.5
Andaman & Nicobar Islands,1903,1,12.7
Andaman & Nicobar Islands,1903,2,144
Andaman & Nicobar Islands,1903,3,0
Andaman & Nicobar Islands,1903,4,1
Andaman & Nicobar Islands,1903,5,235.1
Andaman & Nicobar Islands,1903,6,479.9
Andaman & Nicobar Islands,1903,7,728.4
Andaman & Nicobar Islands,1903,8,326.7
Andaman & Nicobar Islands,1903,9,339
Andaman & Nicobar Islands,1903,10,181.2
Andaman & Nicobar Islands,1903,11,284.4
Andaman & Nicobar Islands,1903,12,225
Andaman & Nicobar Islands,1904,1,9.4
Andaman & Nicobar Islands,1904,2,14.7
Andaman & Nicobar Islands,1904,3,0
Andaman & Nicobar Islands,1904,4,202.4
Andaman & Nicobar Islands,1904,5,304.5
Andaman & Nicobar Islands,1904,6,495.1
Andaman & Nicobar Islands,1904,7,502
Andaman & Nicobar Islands,1904,8,160.1
Andaman & Nicobar Islands,1904,9,820.4
Andaman & Nicobar Islands,1904,10,222.2
Andaman & Nicobar Islands,1904,11,308.7
Andaman & Nicobar Islands,1904,12,40.1
Andaman & Nicobar Islands,1905,1,1.3
Andaman & Nicobar Islands,1905,2,0
Andaman & Nicobar Islands,1905,3,3.3
Andaman & Nicobar Islands,1905,4,26.9
Andaman & Nicobar Islands,1905,5,279.5
Andaman & Nicobar Islands,1905,6,628.7
Andaman & Nicobar Islands,1905,7,368.7
Andaman & Nicobar Islands,1905,8,330.5
Andaman & Nicobar Islands,1905,9,297
Andaman & Nicobar Islands,1905,10,260.7
Andaman & Nicobar Islands,1905,11,25.4
Andaman & Nicobar Islands,1905,12,344.7
Andaman & Nicobar Islands,1906,1,36.6
Andaman & Nicobar Islands,1906,2,0
Andaman & Nicobar Islands,1906,3,0
Andaman & Nicobar Islands,1906,4,0
Andaman & Nicobar Islands,1906,5,556.1
Andaman & Nicobar Islands,1906,6,733.3
Andaman & Nicobar Islands,1906,7,247.7
Andaman & Nicobar Islands,1906,8,320.5
Andaman & Nicobar Islands,1906,9,164.3
Andaman & Nicobar Islands,1906,10,267.8
Andaman & Nicobar Islands,1906,11,128.9
Andaman & Nicobar Islands,1906,12,79.2
Andaman & Nicobar Islands,1907,1,110.7
Andaman & Nicobar Islands,1907,2,0
Andaman & Nicobar Islands,1907,3,113.3
Andaman & Nicobar Islands,1907,4,21.6
Andaman & Nicobar Islands,1907,5,616.3
Andaman & Nicobar Islands,1907,6,305.2
Andaman & Nicobar Islands,1907,7,443.9
Andaman & Nicobar Islands,1907,8,377.6
Andaman & Nicobar Islands,1907,9,200.4
Andaman & Nicobar Islands,1907,10,264.4
Andaman & Nicobar Islands,1907,11,648.9
Andaman & Nicobar Islands,1907,12,245.6
Andaman & Nicobar Islands,1908,1,20.9
Andaman & Nicobar Islands,1908,2,85.1
Andaman & Nicobar Islands,1908,3,0
Andaman & Nicobar Islands,1908,4,29
Andaman & Nicobar Islands,1908,5,562
Andaman & Nicobar Islands,1908,6,693.6
Andaman & Nicobar Islands,1908,7,481.4
Andaman & Nicobar Islands,1908,8,699.9
Andaman & Nicobar Islands,1908,9,428.8
Andaman & Nicobar Islands,1908,10,170.7
Andaman & Nicobar Islands,1908,11,208.1
Andaman & Nicobar Islands,1908,12,196.9
Andaman & Nicobar Islands,1910,1,26.6
Andaman & Nicobar Islands,1910,2,22.7
Andaman & Nicobar Islands,1910,3,206.3
Andaman & Nicobar Islands,1910,4,89.3
Andaman & Nicobar Islands,1910,5,224.5
Andaman & Nicobar Islands,1910,6,472.7
Andaman & Nicobar Islands,1910,7,264.3
Andaman & Nicobar Islands,1910,8,337.4
Andaman & Nicobar Islands,1910,9,626.6
Andaman & Nicobar Islands,1910,10,208.2
Andaman & Nicobar Islands,1910,11,267.3
Andaman & Nicobar Islands,1910,12,153.5
Andaman & Nicobar Islands,1911,1,0
Andaman & Nicobar Islands,1911,2,8.4
Andaman & Nicobar Islands,1911,3,0
Andaman & Nicobar Islands,1911,4,122.5
Andaman & Nicobar Islands,1911,5,327.3
