"Crop","Season","Area-2021-22","Area-2022-23","Area-2023-24","Area-2024-25","Area-2025-26","Production-2021-22","Production-2022-23","Production-2023-24","Production-2024-25","Production-2025-26","Yield-2021-22","Yield-2022-23","Yield-2023-24","Yield-2024-25","Yield-2025-26"
"Rice","Kharif","410.38","404.03","407.34","434.66","446.70","1110.01","1105.12","1132.59","1227.72","1247.58","2705.00","2735.00","2780.00","2825.00","2793.00"
"Rice","Rabi","52.40","43.28","40.76","44.73","48.99","184.71","150.04","146.01","161.29","181.07","3525.00","3467.00","3582.00","3606.00","3696.00"
"Rice","Summer","","31.01","30.18","33.28","32.63","","102.40","99.65","112.84","111.59","","3302.00","3302.00","3391.00","3419.00"
"Rice","Total","462.79","478.32","478.28","512.67","528.32","1294.71","1357.55","1378.25","1501.84","1540.24","2798.00","2838.00","2882.00","2929.00","2915.00"
"Wheat","Rabi","304.59","314.01","318.33","328.04","336.00","1077.42","1105.54","1132.92","1179.45","1206.57","3537.00","3521.00","3559.00","3595.00","3591.00"
"Wheat","Total","304.59","314.01","318.33","328.04","336.00","1077.42","1105.54","1132.92","1179.45","1206.57","3537.00","3521.00","3559.00","3595.00","3591.00"
"Maize","Kharif","77.85","80.53","83.29","84.61","98.61","226.81","236.74","222.45","248.08","305.09","2914.00","2940.00","2671.00","2932.00","3094.00"
"Maize","Rabi","21.73","21.83","21.75","27.80","34.88","110.49","116.90","120.28","147.53","200.25","5084.00","5355.00","5529.00","5306.00","5740.00"
"Maize","Summer","","5.08","7.37","8.50","10.58","","27.21","33.92","38.47","45.59","","5361.00","4603.00","4528.00","4308.00"
"Maize","Total","99.58","107.44","112.41","120.91","144.08","337.30","380.85","376.65","434.09","550.93","3387.00","3545.00","3351.00","3590.00","3824.00"
"Barley","Rabi","4.53","6.28","5.51","6.08","5.66","13.71","19.13","16.99","19.19","17.96","3025.00","3044.00","3082.00","3159.00","3171.00"
"Barley","Total","4.53","6.28","5.51","6.08","5.66","13.71","19.13","16.99","19.19","17.96","3025.00","3044.00","3082.00","3159.00","3171.00"
"Jowar","Kharif","14.66","13.82","12.89","14.42","12.10","15.98","14.80","15.09","17.37","13.13","1090.00","1071.00","1170.00","1204.00","1085.00"
"Jowar","Rabi","23.34","21.37","27.36","25.17","22.96","25.52","23.22","31.89","31.87","30.09","1093.00","1086.00","1165.00","1266.00","1311.00"
"Jowar","Summer","","0.16","0.51","0.36","0.43","","0.13","0.40","0.30","0.34","","811.00","789.00","842.00","792.00"
"Jowar","Total","38.01","35.35","40.76","39.95","35.48","41.51","38.14","47.37","49.55","43.56","1092.00","1079.00","1162.00","1240.00","1228.00"
"Bajra","Kharif","68.41","71.72","69.66","68.38","63.80","97.81","103.49","96.63","99.78","94.76","1430.00","1443.00","1387.00","1459.00","1485.00"
"Bajra","Summer","","4.00","4.08","5.20","5.83","","10.82","10.53","12.27","13.72","","2705.00","2579.00","2361.00","2353.00"
"Bajra","Total","68.41","75.72","73.75","73.57","69.63","97.81","114.31","107.16","112.05","108.48","1430.00","1510.00","1453.00","1523.00","1558.00"
"Ragi","Kharif","12.18","11.63","12.15","12.48","13.46","17.01","16.91","16.70","19.77","20.00","1396.00","1454.00","1375.00","1584.00","1486.00"
"Ragi","Total","12.18","11.63","12.15","12.48","13.46","17.01","16.91","16.70","19.77","20.00","1396.00","1454.00","1375.00","1584.00","1486.00"
"Small Millets","Kharif","4.29","4.28","4.80","4.55","4.15","3.67","3.84","4.49","4.56","3.80","857.00","898.00","935.00","1001.00","915.00"
"Small Millets","Total","4.29","4.28","4.80","4.55","4.15","3.67","3.84","4.49","4.56","3.80","857.00","898.00","935.00","1001.00","915.00"
"Shree Anna /Nutri Cereals","Kharif","99.55","101.46","99.50","99.83","93.51","134.47","139.04","132.90","141.48","131.69","1351.00","1370.00","1336.00","1417.00","1408.00"
"Shree Anna /Nutri Cereals","Rabi","23.34","21.37","27.36","25.17","22.96","25.52","23.22","31.89","31.87","30.09","1093.00","1086.00","1165.00","1266.00","1311.00"
"Shree Anna /Nutri Cereals","Summer","","4.16","4.59","5.56","6.26","","10.95","10.93","12.57","14.06","","2634.00","2381.00","2263.00","2247.00"
"Shree Anna /Nutri Cereals","Total","122.89","126.98","131.45","130.56","122.73","160.00","173.21","175.72","185.92","175.84","1302.00","1364.00","1337.00","1424.00","1433.00"
"Nutri/Coarse Cereals","Kharif","177.39","181.99","182.79","184.44","192.12","361.28","375.78","355.35","389.56","436.78","2037.00","2065.00","1944.00","2112.00","2273.00"
"Nutri/Coarse Cereals","Rabi","49.61","49.48","54.63","59.05","63.51","149.73","159.25","169.16","198.60","248.30","3018.00","3218.00","3097.00","3363.00","3910.00"
