state,district,taluka,season_year,start_date,end_date,duration_days
Maharashtra,Thane,Thane,2021,2021-08-23,2021-08-30,8
Maharashtra,Thane,Thane,2021,2021-10-14,2021-10-31,18
Maharashtra,Thane,Kalyan,2021,2021-10-14,2021-10-31,18
Maharashtra,Thane,Murbad,2021,2021-06-29,2021-07-06,8
Maharashtra,Thane,Murbad,2021,2021-10-11,2021-10-31,21
Maharashtra,Thane,Bhivandi,2021,2021-08-23,2021-08-30,8
Maharashtra,Thane,Bhivandi,2021,2021-10-13,2021-10-31,19
Maharashtra,Thane,Shahapur,2021,2021-10-13,2021-10-31,19
Maharashtra,Thane,Ulhasnagar,2021,2021-08-23,2021-08-30,8
Maharashtra,Thane,Ulhasnagar,2021,2021-10-21,2021-10-31,11
Maharashtra,Thane,Ambarnath,2021,2021-08-23,2021-08-30,8
Maharashtra,Thane,Ambarnath,2021,2021-10-14,2021-10-31,18
Maharashtra,Raigadh,Alibag,2021,2021-10-13,2021-10-31,19
Maharashtra,Raigadh,Panwel,2021,2021-10-14,2021-10-31,18
Maharashtra,Raigadh,Karjat,2021,2021-10-14,2021-10-31,18
Maharashtra,Raigadh,Khalapur,2021,2021-10-13,2021-10-31,19
Maharashtra,Raigadh,Uran,2021,2021-10-13,2021-10-31,19
Maharashtra,Raigadh,Sudhagad,2021,2021-10-13,2021-10-31,19
Maharashtra,Raigadh,Pen,2021,2021-10-13,2021-10-31,19
Maharashtra,Raigadh,Mahad,2021,2021-10-12,2021-10-31,20
Maharashtra,Raigadh,Mangaon,2021,2021-10-12,2021-10-31,20
Maharashtra,Raigadh,Roha,2021,2021-10-13,2021-10-31,19
Maharashtra,Raigadh,Poladpur,2021,2021-10-13,2021-10-31,19
Maharashtra,Raigadh,Murud,2021,2021-10-13,2021-10-31,19
Maharashtra,Raigadh,Shriwardhan,2021,2021-10-13,2021-10-31,19
Maharashtra,Raigadh,Mahasala,2021,2021-10-13,2021-10-31,19
Maharashtra,Raigadh,Tala,2021,2021-10-14,2021-10-31,18
Maharashtra,Ratnagiri,Chiplun,2021,2021-10-13,2021-10-31,19
Maharashtra,Ratnagiri,Dapoli,2021,2021-10-13,2021-10-31,19
Maharashtra,Ratnagiri,Khed,2021,2021-10-20,2021-10-31,12
Maharashtra,Ratnagiri,Guhagar,2021,2021-10-13,2021-10-31,19
Maharashtra,Ratnagiri,Mandangad,2021,2021-10-13,2021-10-31,19
Maharashtra,Ratnagiri,Ratnagiri,2021,2021-10-13,2021-10-31,19
Maharashtra,Ratnagiri,Sangameshwar,2021,2021-10-14,2021-10-31,18
Maharashtra,Ratnagiri,Rajapur,2021,2021-10-14,2021-10-31,18
Maharashtra,Ratnagiri,Lanja,2021,2021-10-14,2021-10-31,18
Maharashtra,Sindhudurg,Devgad,2021,2021-10-14,2021-10-31,18
Maharashtra,Sindhudurg,Malwan,2021,2021-10-11,2021-10-31,21
Maharashtra,Sindhudurg,Sawantwadi,2021,2021-10-17,2021-10-24,8
Maharashtra,Sindhudurg,Vengurla,2021,2021-10-17,2021-10-31,15
Maharashtra,Sindhudurg,Kankawali,2021,2021-10-17,2021-10-31,15
Maharashtra,Sindhudurg,Kudal,2021,2021-10-17,2021-10-31,15
Maharashtra,Sindhudurg,Vaibhavwadi,2021,2021-10-17,2021-10-31,15
Maharashtra,Sindhudurg,Dodamarg,2021,2021-10-17,2021-10-25,9
Maharashtra,Palghar,Vasai,2021,2021-10-12,2021-10-31,20
Maharashtra,Palghar,Wada,2021,2021-10-13,2021-10-31,19
Maharashtra,Palghar,Dahanu,2021,2021-10-14,2021-10-31,18
Maharashtra,Palghar,Palghar,2021,2021-07-02,2021-07-08,7
Maharashtra,Palghar,Palghar,2021,2021-10-01,2021-10-07,7
Maharashtra,Palghar,Palghar,2021,2021-10-12,2021-10-31,20
Maharashtra,Palghar,Javhar,2021,2021-07-02,2021-07-08,7
Maharashtra,Palghar,Javhar,2021,2021-10-14,2021-10-31,18
Maharashtra,Palghar,Mokhada,2021,2021-10-13,2021-10-31,19
Maharashtra,Palghar,Talasari,2021,2021-07-02,2021-07-08,7
Maharashtra,Palghar,Talasari,2021,2021-10-14,2021-10-31,18
Maharashtra,Palghar,Vikramgad,2021,2021-06-30,2021-07-08,9
Maharashtra,Palghar,Vikramgad,2021,2021-10-15,2021-10-31,17
Maharashtra,Nashik,Malegaon,2021,2021-06-18,2021-06-27,10
Maharashtra,Nashik,Malegaon,2021,2021-07-27,2021-08-15,20
Maharashtra,Nashik,Malegaon,2021,2021-09-15,2021-09-21,7
Maharashtra,Nashik,Malegaon,2021,2021-10-11,2021-10-31,21
Maharashtra,Nashik,Baglan,2021,2021-06-11,2021-06-24,14
Maharashtra,Nashik,Baglan,2021,2021-07-29,2021-08-17,20
Maharashtra,Nashik,Baglan,2021,2021-08-21,2021-08-28,8
Maharashtra,Nashik,Baglan,2021,2021-09-15,2021-09-23,9
Maharashtra,Nashik,Baglan,2021,2021-10-14,2021-10-31,18
Maharashtra,Nashik,Kalwan,2021,2021-06-11,2021-06-19,9
Maharashtra,Nashik,Kalwan,2021,2021-08-06,2021-08-14,9
Maharashtra,Nashik,Kalwan,2021,2021-08-23,2021-08-30,8
Maharashtra,Nashik,Kalwan,2021,2021-09-15,2021-09-21,7
Maharashtra,Nashik,Kalwan,2021,2021-10-19,2021-10-31,13
Maharashtra,Nashik,Nandgaon,2021,2021-07-29,2021-08-11,14
Maharashtra,Nashik,Nandgaon,2021,2021-08-22,2021-08-29,8
Maharashtra,Nashik,Nandgaon,2021,2021-09-13,2021-09-20,8
Maharashtra,Nashik,Nandgaon,2021,2021-10-10,2021-10-31,22
Maharashtra,Nashik,Surgana,2021,2021-06-08,2021-06-19,12
Maharashtra,Nashik,Surgana,2021,2021-06-29,2021-07-10,12
Maharashtra,Nashik,Surgana,2021,2021-08-23,2021-08-29,7
Maharashtra,Nashik,Surgana,2021,2021-10-14,2021-10-31,18
Maharashtra,Nashik,Nasik,2021,2021-06-08,2021-06-18,11
Maharashtra,Nashik,Nasik,2021,2021-06-21,2021-06-27,7
Maharashtra,Nashik,Nasik,2021,2021-06-30,2021-07-08,9
Maharashtra,Nashik,Nasik,2021,2021-08-23,2021-08-30,8
Maharashtra,Nashik,Nasik,2021,2021-10-01,2021-10-07,7
Maharashtra,Nashik,Nasik,2021,2021-10-19,2021-10-31,13
Maharashtra,Nashik,Dindori,2021,2021-06-30,2021-07-08,9
Maharashtra,Nashik,Dindori,2021,2021-08-06,2021-08-14,9
Maharashtra,Nashik,Dindori,2021,2021-10-19,2021-10-31,13
Maharashtra,Nashik,Egatpuri,2021,2021-08-23,2021-08-30,8
Maharashtra,Nashik,Egatpuri,2021,2021-10-14,2021-10-31,18
Maharashtra,Nashik,Peth,2021,2021-07-02,2021-07-08,7
Maharashtra,Nashik,Peth,2021,2021-10-01,2021-10-09,9
Maharashtra,Nashik,Peth,2021,2021-10-14,2021-10-31,18
Maharashtra,Nashik,Niphad,2021,2021-06-08,2021-06-18,11
Maharashtra,Nashik,Niphad,2021,2021-06-21,2021-06-27,7
Maharashtra,Nashik,Niphad,2021,2021-06-30,2021-07-09,10
Maharashtra,Nashik,Niphad,2021,2021-07-13,2021-07-19,7
