"Year","Season","Rice-Area","Rice-Production","Rice-Yield","Wheat-Area","Wheat-Production","Wheat-Yield","Maize-Area","Maize-Production","Maize-Yield","Barley-Area","Barley-Production","Barley-Yield","Jowar-Area","Jowar-Production","Jowar-Yield","Bajra-Area","Bajra-Production","Bajra-Yield","Ragi-Area","Ragi-Production","Ragi-Yield","Small Millets-Area","Small Millets-Production","Small Millets-Yield","Shree Anna /Nutri Cereals-Area","Shree Anna /Nutri Cereals-Production","Shree Anna /Nutri Cereals-Yield","Nutri/Coarse Cereals-Area","Nutri/Coarse Cereals-Production","Nutri/Coarse Cereals-Yield","Cereals-Area","Cereals-Production","Cereals-Yield","Tur-Area","Tur-Production","Tur-Yield","Gram-Area","Gram-Production","Gram-Yield","Urad-Area","Urad-Production","Urad-Yield","Moong-Area","Moong-Production","Moong-Yield","Lentil-Area","Lentil-Production","Lentil-Yield","Other Pulses-Area","Other Pulses-Production","Other Pulses-Yield","Total Pulses-Area","Total Pulses-Production","Total Pulses-Yield","Total Food Grains-Area","Total Food Grains-Production","Total Food Grains-Yield","Groundnut-Area","Groundnut-Production","Groundnut-Yield","Castorseed-Area","Castorseed-Production","Castorseed-Yield","Sesamum-Area","Sesamum-Production","Sesamum-Yield","Nigerseed-Area","Nigerseed-Production","Nigerseed-Yield","Soybean-Area","Soybean-Production","Soybean-Yield","Sunflower-Area","Sunflower-Production","Sunflower-Yield","Rapeseed & Mustard-Area","Rapeseed & Mustard-Production","Rapeseed & Mustard-Yield","Linseed-Area","Linseed-Production","Linseed-Yield","Safflower-Area","Safflower-Production","Safflower-Yield","Total Oil Seeds-Area","Total Oil Seeds-Production","Total Oil Seeds-Yield","Sugarcane-Area","Sugarcane-Production","Sugarcane-Yield","Cotton-Area","Cotton-Production","Cotton-Yield","Jute-Area","Jute-Production","Jute-Yield","Mesta-Area","Mesta-Production","Mesta-Yield","Jute & Mesta-Area","Jute & Mesta-Production","Jute & Mesta-Yield"
"2025-26","Kharif","446.70","1247.58","2793.00","","","","98.61","305.09","3094.00","","","","12.10","13.13","1085.00","63.80","94.76","1485.00","13.46","20.00","1486.00","4.15","3.80","915.00","93.51","131.69","1408.00","192.12","436.78","2273.00","638.82","1684.36","2637.00","44.60","35.92","805.00","","","","21.26","11.32","532.00","37.45","19.32","516.00","","","","15.66","9.46","604.00","118.97","76.02","639.00","757.79","1760.38","2323.00","50.29","113.42","2255.00","10.89","21.57","1981.00","9.63","4.52","470.00","0.83","0.32","382.00","123.86","125.96","1017.00","0.88","0.88","997.00","","","","","","","","","","196.38","266.68","1358.00","58.84","5000.63","84987.00","115.25","290.24","428.00","5.83","91.76","2833.00","0.23","2.27","1784.00","6.06","94.03","2793.00"
"2025-26","Rabi","48.99","181.07","3696.00","336.00","1206.57","3591.00","34.88","200.25","5740.00","5.66","17.96","3171.00","22.96","30.09","1311.00","","","","","","","","","","22.96","30.09","1311.00","63.51","248.30","3910.00","448.50","1635.94","3648.00","","","","96.60","125.14","1295.00","6.11","5.70","934.00","1.48","1.28","865.00","17.63","17.62","999.00","18.50","19.44","1051.00","140.32","169.18","1206.00","588.82","1805.12","3066.00","3.16","7.59","2404.00","","","","0.57","0.31","535.00","","","","","","","1.03","1.38","1350.00","94.27","137.68","1460.00","1.94","1.61","828.00","0.90","0.66","736.00","101.86","149.22","1465.00","","","","","","","","","","","","","","",""
"2025-26","Summer","32.63","111.59","3419.00","","","","10.58","45.59","4308.00","","","","0.43","0.34","792.00","5.83","13.72","2353.00","","","","","","","6.26","14.06","2247.00","16.84","59.65","3542.00","49.48","171.24","3461.00","","","","","","","4.34","4.58","1055.00","22.82","24.31","1065.00","","","","","","","27.16","28.89","1064.00","76.64","200.13","2611.00","5.23","9.73","1861.00","","","","5.04","4.51","895.00","","","","","","","0.35","0.44","1277.00","","","","","","","","","","10.62","14.69","1383.00","","","","","","","","","","","","","","",""
"2025-26","Total","528.32","1540.24","2915.00","336.00","1206.57","3591.00","144.08","550.93","3824.00","5.66","17.96","3171.00","35.48","43.56","1228.00","69.63","108.48","1558.00","13.46","20.00","1486.00","4.15","3.80","915.00","122.73","175.84","1433.00","272.47","744.72","2733.00","1136.79","3491.54","3071.00","44.60","35.92","805.00","96.60","125.14","1295.00","31.70","21.60","681.00","61.76","44.92","727.00","17.63","17.62","999.00","34.16","28.90","846.00","286.46","274.09","957.00","1423.25","3765.63","2646.00","58.67","130.74","2228.00","10.89","21.57","1981.00","15.24","9.34","613.00","0.83","0.32","382.00","123.86","125.96","1017.00","2.25","2.70","1201.00","94.27","137.68","1460.00","1.94","1.61","828.00","0.90","0.66","736.00","308.86","430.59","1394.00","58.84","5000.63","84987.00","115.25","290.24","428.00","5.83","91.76","2833.00","0.23","2.27","1784.00","6.06","94.03","2793.00"
"2024-25","Kharif","434.66","1227.72","2825.00","","","","84.61","248.08","2932.00","","","","14.42","17.37","1204.00","68.38","99.78","1459.00","12.48","19.77","1584.00","4.55","4.56","1001.00","99.83","141.48","1417.00","184.44","389.56","2112.00","619.10","1617.28","2612.00","43.36","36.24","836.00","","","","21.81","13.41","615.00","34.14","17.74","520.00","","","","16.75","9.93","593.00","116.06","77.33","666.00","735.16","1694.60","2305.00","50.05","104.12","2080.00","9.65","17.86","1852.00","10.39","4.44","427.00","1.01","0.40","394.00","129.52","152.68","1179.00","0.78","0.72","925.00","","","","","","","","","","201.40","280.23","1391.00","54.50","4546.11","83416.00","114.84","297.24","440.00","5.44","84.88","2807.00","0.30","3.13","1864.00","5.74","88.02","2758.00"
"2024-25","Rabi","44.73","161.29","3606.00","328.04","1179.45","3595.00","27.80","147.53","5306.00","6.08","19.19","3159.00","25.17","31.87","1266.00","","","","","","","","","","25.17","31.87","1266.00","59.05","198.60","3363.00","431.83","1539.33","3565.00","","","","91.22","111.14","1218.00","6.18","5.53","894.00","1.36","1.00","738.00","16.99","16.54","973.00","18.33","18.11","988.00","134.08","152.32","1136.00","565.91","1691.66","2989.00","3.37","6.78","2011.00","","","","0.41","0.19","467.00","","","","","","","0.81","1.21","1481.00","86.57","126.67","1463.00","1.69","1.12","666.00","0.64","0.43","672.00","93.49","136.40","1459.00","","","","","","","","","","","","","","",""
"2024-25","Summer","33.28","112.84","3391.00","","","","8.50","38.47","4528.00","","","","0.36","0.30","842.00","5.20","12.27","2361.00","","","","","","","5.56","12.57","2263.00","14.05","51.05","3632.00","47.33","163.88","3462.00","","","","","","","3.58","3.48","974.00","23.49","23.70","1009.00","","","","","","","27.07","27.18","1004.00","74.40","191.06","2568.00","4.20","8.52","2029.00","","","","4.96","4.31","867.00","","","","","","","0.35","0.43","1241.00","","","","","","","","","","9.51","13.26","1394.00","","","","","","","","","","","","","","",""
"2024-25","Total","512.67","1501.84","2929.00","328.04","1179.45","3595.00","120.91","434.09","3590.00","6.08","19.19","3159.00","39.95","49.55","1240.00","73.57","112.05","1523.00","12.48","19.77","1584.00","4.55","4.56","1001.00","130.56","185.92","1424.00","257.55","639.21","2482.00","1098.26","3320.50","3023.00","43.36","36.24","836.00","91.22","111.14","1218.00","31.57","22.42","710.00","58.99","42.44","719.00","16.99","16.54","973.00","35.08","28.04","799.00","277.20","256.83","926.00","1375.46","3577.32","2601.00","57.62","119.42","2073.00","9.65","17.86","1852.00","15.76","8.93","567.00","1.01","0.40","394.00","129.52","152.68","1179.00","1.94","2.36","1214.00","86.57","126.67","1463.00","1.69","1.12","666.00","0.64","0.43","672.00","304.40","429.89","1412.00","54.50","4546.11","83416.00","114.84","297.24","440.00","5.44","84.88","2807.00","0.30","3.13","1864.00","5.74","88.02","2758.00"
"2023-24","Kharif","407.34","1132.59","2780.00","","","","83.29","222.45","2671.00","","","","12.89","15.09","1170.00","69.66","96.63","1387.00","12.15","16.70","1375.00","4.80","4.49","935.00","99.50","132.90","1336.00","182.79","355.35","1944.00","590.13","1487.94","2521.00","41.31","34.17","827.00","","","","26.81","16.04","598.00","31.74","11.54","364.00","","","","16.40","7.99","487.00","116.25","69.74","600.00","706.39","1557.68","2205.00","40.44","86.60","2142.00","10.41","19.59","1881.00","10.08","3.95","392.00","0.83","0.27","323.00","132.55","130.62","985.00","0.67","0.60","894.00","","","","","","","","","","194.98","241.62","1239.00","57.40","4531.58","78953.00","126.88","325.22","436.00","5.98","92.52","2783.00","0.39","4.41","2033.00","6.37","96.92","2737.00"
"2023-24","Rabi","40.76","146.01","3582.00","318.33","1132.92","3559.00","21.75","120.28","5529.00","5.51","16.99","3082.00","27.36","31.89","1165.00","","","","","","","","","","27.36","31.89","1165.00","54.63","169.16","3097.00","413.72","1448.09","3500.00","","","","95.87","110.39","1151.00","5.89","4.87","828.00","1.38","1.01","733.00","17.43","17.91","1028.00","16.82","17.78","1057.00","137.39","151.97","1106.00","551.11","1600.06","2903.00","3.42","7.55","2208.00","","","","0.49","0.28","559.00","","","","","","","0.53","0.74","1397.00","91.83","132.59","1444.00","1.75","1.13","644.00","0.65","0.50","768.00","98.68","142.78","1447.00","","","","","","","","","","","","","","",""
